,historicals,companies,#results,clientid,status
83,newport pullman.csv,KFC - Newport Pullman,1,newport pullman,"Jan 13, 2021	Grant Read	Newport Pullman.csv	Uploaded successfully"
84,newport west.csv,KFC - Newport West,1,newport west,"Jan 13, 2021	Grant Read	Newport West.csv	Uploaded successfully"
85,norwich chapelfield.csv,KFC - Norwich - Chapelfield,0,chapelfield,"Jan 13, 2021	Grant Read	Norwich Chapelfield.csv	Uploaded successfully"
86,norwich longwater.csv,KFC - Norwich - Longwater,0,longwater,"Jan 13, 2021	Grant Read	Norwich Longwater.csv	Uploaded successfully"
87,norwich mile cross.csv,KFC - Norwich - Mile Cross,0,mile,"Jan 13, 2021	Grant Read	Norwich Mile Cross.csv	Uploaded successfully"
88,norwich sprowston.csv,KFC - Norwich - Sprowston,0,sprowston,"Jan 13, 2021	Grant Read	Sprowston.csv	Uploaded successfully"
89,peterborough ashbourne road.csv,KFC - Peterborough Ashbourne,0,ashbourne,"Jan 13, 2021	Grant Read	Peterborough Ashbourne Road	Uploaded successfully"
90,peterborough london road.csv,KFC - Peterborough London Road,1,peterborough london road,"Jan 13, 2021	Grant Read	Peterborough London Road.cs	Uploaded successfully"
91,peterborough paston parkway.csv,KFC - Peterborough Paston Parkway,1,peterborough paston parkway,"Jan 13, 2021	Grant Read	Peterborough Paston Parkway	Uploaded successfully"
92,pontypool.csv,KFC - Pontypool,1,pontypool,"Jan 13, 2021	Grant Read	Pontypool.csv	Uploaded successfully"
93,port talbot.csv,KFC - Port Talbot,1,port talbot,"Jan 13, 2021	Grant Read	Port Talbot.csv	Uploaded successfully"
94,porth cymer road.csv,KFC - Porth - Cymer Road,0,porth,"Jan 13, 2021	Grant Read	Porth Cymer Road.csv	Uploaded successfully"
95,redhill.csv,KFC - Redhill,1,redhill,"Jan 13, 2021	Grant Read	Redhill.csv	Uploaded successfully"
96,risca.csv,KFC - Newport Risca,1,risca,"Jan 13, 2021	Grant Read	Risca.csv	Uploaded successfully"
97,ruislip.csv,KFC - Ruislip,1,ruislip,"Jan 13, 2021	Grant Read	Ruislip.csv	Uploaded successfully"
98,stevenage leisure.csv,KFC - Stevenage Leisure,1,stevenage leisure,"Jan 13, 2021	Grant Read	Stevenage Leisure Park.csv	Uploaded successfully"
99,stevenage roaring meg.csv,KFC - Stevenage Roaring Meg,1,stevenage roaring meg,"Jan 13, 2021	Grant Read	Stevenage Roaring Meg.csv	Uploaded successfully"
100,swansea fforestfach.csv,KFC - Swansea Fforestfach,1,swansea fforestfach,"Jan 13, 2021	Grant Read	Swansea Fforestfach.csv	Uploaded successfully"
101,swansea morfa.csv,KFC - Swansea Morfa,1,swansea morfa,"Jan 13, 2021	Grant Read	Swansea Morfa.csv	Uploaded successfully"
102,swansea morganite.csv,KFC - Swansea Morganite,1,swansea morganite,"Jan 13, 2021	Grant Read	Swansea Morganite.csv	Uploaded successfully"
103,swindon clive parade.csv,KFC - Swindon Clive Parade,1,swindon clive parade,"Jan 13, 2021	Grant Read	Swindon Clive Parade.csv	Uploaded successfully"
104,swindon delta.csv,KFC - Swindon Delta,1,swindon delta,"Jan 13, 2021	Grant Read	Swindon Delta.csv	Uploaded successfully"
105,swindon greenbridge.csv,KFC - Swindon Greenbridge,1,swindon greenbridge,"Jan 13, 2021	Grant Read	Swindon Greenbridge.csv	Uploaded successfully"
106,swindon outlet centre.csv,KFC - Swindon Outlet Centre,1,swindon outlet centre,"Jan 06, 2021	Grant Read	Swindon Outlet Centre.csv	Uploaded successfully"
107,talbot green.csv,KFC - Port Talbot,0,talbot,"Jan 13, 2021	Grant Read	Port Talbot.csv	Uploaded successfully"
108,thorpe park.csv,KFC - Thorpe Park,1,thorpe park,"Nov 06, 2020	Grant Read	Thorpe Park.csv	Uploaded successfully"
109,tooting.csv,KFC - Tooting,1,tooting,"Jan 13, 2021	Grant Read	Tooting.csv	Uploaded successfully"
110,uttoxeter.csv,KFC - Uttoxeter,1,uttoxeter,"Jan 13, 2021	Grant Read	Uttoxeter.csv	Uploaded successfully"
111,wembley.csv,KFC - Wembley,1,wembley,"Jan 13, 2021	Grant Read	Wembley.csv	Uploaded successfully"
112,wimbledon.csv,KFC - Wimbledon,1,wimbledon,"Jan 13, 2021	Grant Read	Wimbledon.csv	Uploaded successfully"
113,wincanton.csv,KFC - Wincanton,1,wincanton,"Jan 13, 2021	Grant Read	Wincanton.csv	Uploaded successfully"
114,wisbeech.csv,ZZZZZZZZZZZZZZZZ,0,wisbech,"Jan 13, 2021	Grant Read	Wisbech.csv	Uploaded successfully"
115,wood green express.csv,KFC - Wood Green Express,1,wood green express,"Jan 13, 2021	Grant Read	Wood Green Express.csv	Uploaded successfully"
116,wood green restaurant.csv,KFC - Wood Green Restaurant,1,wood green restaurant,"Jan 13, 2021	Grant Read	Wood Green Restaurant.csv	Uploaded successfully"
